ID,lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
8,A,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7
18,C,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9
26,C,6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8
51,Y,7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3
53,Y,2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,7
59,C,6,10,4,5,2,6,9,6,6,11,7,7,2,9,5,9
62,C,2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8
69,Y,5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3
79,A,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8
83,C,6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10
92,Y,8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5
101,Y,2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8
105,C,2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7
117,C,2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9
119,A,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7
131,A,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7
135,A,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7
143,C,1,1,2,2,1,6,8,6,6,9,7,12,1,9,3,10
145,A,2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9
148,A,2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9
158,A,8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5
164,A,3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8
169,Y,6,9,6,7,4,5,8,0,8,8,9,5,2,11,4,4
172,C,2,1,2,2,1,6,8,7,7,8,7,12,1,9,4,10
202,Y,3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8
211,Y,2,2,4,4,2,6,10,1,7,7,11,9,1,11,1,8
217,A,3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8
233,A,2,7,4,5,3,13,3,3,2,10,1,8,2,6,2,8
235,A,4,9,6,6,2,10,5,3,1,8,1,9,2,7,2,8
243,Y,4,10,6,8,2,9,11,0,4,6,11,8,0,10,0,8
254,C,3,7,4,5,2,5,8,6,7,6,8,13,1,8,4,10
287,C,2,1,3,2,1,6,8,6,7,7,8,12,1,9,4,10
290,A,6,9,8,8,8,8,7,3,5,7,8,8,6,8,4,5
292,C,4,8,6,6,4,8,8,8,6,7,6,8,4,7,4,8
296,A,5,10,7,8,5,8,3,3,1,7,1,8,5,9,5,8
305,A,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8
314,A,1,3,2,2,1,10,3,2,1,9,2,9,1,6,1,8
328,A,2,7,4,4,2,7,3,3,2,7,2,8,3,7,2,8
338,A,3,6,5,4,3,12,3,2,2,9,2,9,2,6,2,8
344,C,4,6,6,5,5,4,7,3,6,6,6,10,4,10,7,7
350,C,6,11,6,8,4,4,8,5,6,12,10,11,2,10,3,7
358,Y,4,11,6,8,1,7,11,2,3,8,12,8,1,11,0,8
386,C,5,7,5,5,3,6,7,6,8,12,8,12,2,10,4,7
394,C,1,0,2,1,0,7,7,6,7,7,6,13,0,8,4,10
414,C,3,6,4,4,1,6,7,6,10,7,6,13,1,8,4,9
416,A,2,6,4,4,2,12,2,4,3,12,2,10,2,6,3,9
417,Y,3,10,5,7,1,10,10,3,2,5,13,8,2,11,0,8
423,Y,3,8,6,5,1,10,10,3,2,5,13,8,2,11,0,8
435,C,4,3,5,5,2,6,7,6,10,7,6,13,1,8,4,9
458,Y,3,3,5,4,1,9,9,3,1,5,13,8,2,10,0,8
474,A,3,9,5,7,3,12,3,4,3,11,1,9,2,6,3,9
484,A,3,8,5,5,1,6,6,3,1,6,0,8,2,6,1,7
493,C,2,3,2,2,1,6,8,6,7,8,7,12,1,9,3,10
502,Y,4,5,5,4,2,4,11,2,7,11,10,6,1,11,2,5
503,A,3,9,6,7,3,11,2,3,3,10,2,9,2,6,3,8
507,Y,5,7,5,5,2,3,10,3,7,11,12,7,2,11,3,5
516,Y,5,11,6,8,2,3,11,3,8,13,11,5,0,10,2,4
518,A,4,9,6,6,2,7,4,3,2,7,1,8,3,7,3,8
527,Y,2,6,4,4,1,9,10,3,2,5,13,8,2,11,0,8
540,Y,9,9,8,13,5,9,10,2,4,5,11,5,4,10,7,8
561,Y,3,3,4,4,1,10,13,3,3,3,11,9,0,10,0,8
604,Y,4,9,6,7,2,7,12,1,3,7,11,8,0,10,0,8
609,A,5,11,7,8,4,8,3,2,3,7,1,8,2,7,3,7
617,Y,5,6,5,4,3,5,9,1,7,9,10,6,2,11,3,5
639,A,3,8,5,5,2,7,4,3,1,7,1,8,3,7,2,8
642,Y,2,1,3,1,0,7,10,3,1,7,13,8,1,11,0,8
648,Y,6,6,8,9,8,10,12,6,4,6,7,6,5,10,7,4
657,C,1,0,1,1,0,6,7,6,8,7,6,14,0,8,4,10
674,Y,3,7,5,5,2,7,10,2,2,7,12,8,1,11,0,8
676,A,3,9,6,7,4,11,3,2,2,9,2,9,3,4,3,8
684,Y,4,6,6,4,3,9,10,1,7,3,11,8,1,11,1,9
687,A,4,9,6,7,4,10,3,2,2,8,2,10,4,4,3,8
702,Y,4,5,6,6,6,9,9,6,4,7,7,7,5,11,6,4
709,Y,3,10,5,8,2,8,10,1,3,6,12,8,1,11,0,8
720,A,3,5,5,5,4,9,8,3,4,6,8,7,4,10,4,5
733,A,3,10,6,8,4,12,2,3,3,10,2,9,2,6,4,8
736,Y,3,8,5,6,3,5,9,1,6,8,12,10,1,11,2,8
738,Y,2,4,4,6,1,5,10,3,2,8,13,8,2,11,0,8
750,A,1,1,3,2,1,6,2,2,1,6,2,7,1,6,2,6
753,Y,2,7,4,5,2,8,10,1,6,5,11,8,1,11,1,8
770,A,2,3,3,2,1,8,2,2,1,6,2,8,2,7,2,7
775,Y,1,0,1,0,0,7,10,3,1,7,12,8,1,11,0,8
784,Y,10,12,8,7,5,6,8,4,5,10,7,4,3,9,5,4
790,A,3,3,5,4,1,9,3,3,2,8,2,9,3,6,2,8
791,A,2,4,4,5,1,8,6,3,1,7,0,8,2,6,1,8
801,C,4,8,5,6,2,5,9,8,8,13,9,6,2,10,2,6
802,Y,3,3,4,2,1,4,11,2,7,11,10,5,1,11,2,5
814,A,3,6,5,4,2,9,2,2,2,7,1,8,2,7,3,7
816,C,1,1,2,1,1,6,8,6,6,8,7,12,1,9,3,10
825,Y,7,9,7,7,4,3,10,2,7,11,11,7,1,11,2,5
826,C,3,6,4,4,2,6,7,5,6,11,8,12,1,9,3,9
836,C,6,14,5,8,4,7,8,4,3,9,8,10,4,9,9,11
855,C,7,10,5,5,2,6,10,6,7,12,8,8,2,9,5,8
857,C,4,10,5,8,2,5,7,7,10,7,5,14,1,9,4,9
860,C,2,4,3,3,2,6,8,7,8,8,7,13,1,9,4,10
862,Y,8,11,8,8,4,2,11,3,6,12,12,7,1,11,2,5
863,C,3,6,4,4,4,8,6,5,2,7,7,10,6,9,4,7
864,Y,4,11,6,8,3,10,10,1,3,6,12,8,1,11,0,8
891,Y,2,1,4,2,1,6,10,2,7,8,11,8,1,11,2,7
892,C,3,3,4,5,1,5,7,6,9,6,6,12,1,8,4,8
893,A,3,4,5,6,2,8,5,3,1,7,1,8,2,7,2,8
899,C,4,7,5,5,5,6,7,4,4,7,7,10,6,9,3,8
900,Y,4,10,6,7,1,6,10,3,2,8,13,8,1,11,0,8
931,Y,5,10,7,8,6,8,6,7,5,5,8,8,3,8,10,6
945,A,4,9,6,7,3,11,2,4,3,10,2,9,3,7,3,8
959,A,7,15,5,8,4,10,3,3,2,8,4,11,5,5,4,8
968,C,5,8,7,7,6,5,7,3,4,7,6,11,4,10,7,10
979,C,4,9,5,8,6,5,7,3,4,7,6,11,4,10,7,10
987,C,4,4,5,6,2,6,6,7,11,8,5,12,1,9,4,9
992,A,1,3,2,2,1,9,3,2,1,8,2,9,1,6,1,7
1004,Y,2,7,3,5,2,5,10,2,2,8,12,8,1,11,0,8
1015,A,6,14,6,8,4,12,2,3,2,12,4,11,4,4,4,11
1017,Y,4,7,6,5,2,9,11,1,7,3,11,8,1,11,2,9
1022,Y,3,5,4,4,2,4,10,1,8,10,10,6,1,10,3,4
1024,A,3,6,5,4,3,11,2,2,2,9,2,9,2,6,3,8
1028,A,3,6,5,4,1,7,5,3,1,6,1,8,2,7,2,7
1031,A,4,10,7,7,5,7,5,2,3,5,2,6,3,7,4,4
1042,A,2,7,4,5,2,12,2,4,3,11,2,9,2,6,3,9
1043,A,3,4,6,6,2,9,3,3,3,8,2,9,3,6,3,9
1044,C,4,7,5,5,3,6,7,6,9,8,4,10,1,10,4,10
1059,C,7,10,7,7,4,6,7,6,8,13,8,12,3,11,5,5
1063,A,7,13,7,7,4,12,3,6,2,12,2,10,5,3,4,10
1065,C,3,7,4,5,2,5,8,6,7,7,6,12,1,9,4,10
1078,A,3,7,5,5,3,11,2,2,2,9,2,9,3,6,3,9
1092,C,4,5,5,7,2,5,7,7,10,7,6,13,1,8,4,8
1094,C,8,13,5,8,2,8,6,7,7,12,5,9,2,10,5,9
1126,C,2,6,3,4,2,7,8,8,7,10,6,11,2,11,4,9
1139,Y,2,7,4,5,2,5,9,1,6,9,12,9,1,11,2,7
1140,A,3,3,5,4,1,8,6,3,1,7,1,8,2,7,1,8
1149,C,5,8,7,6,6,6,5,4,4,9,6,12,6,8,4,9
1154,Y,1,1,2,1,0,7,10,2,2,7,12,8,1,11,0,8
1155,Y,2,4,3,3,1,3,12,3,6,12,10,5,1,11,2,5
1159,C,5,11,6,9,3,4,9,7,8,13,11,12,2,9,3,7
1167,Y,2,1,2,1,0,7,10,2,2,7,12,8,1,11,0,8
1171,C,2,1,2,2,0,6,7,6,9,7,6,15,0,8,4,10
1173,Y,2,6,3,4,0,6,10,2,2,8,12,8,1,10,0,8
1178,C,5,7,5,5,3,3,8,5,7,11,10,13,2,9,3,7
1197,Y,3,10,5,7,1,8,11,1,3,6,12,8,1,11,0,8
1199,Y,4,4,5,6,7,8,8,3,2,7,8,9,4,11,7,7
1205,Y,6,10,8,8,7,9,7,7,4,6,9,7,3,9,9,4
1228,A,2,1,3,2,1,8,2,2,1,7,2,8,2,7,2,7
1238,C,5,10,5,8,3,6,8,7,7,13,7,9,2,11,3,7
1247,Y,3,10,5,7,3,7,10,2,6,6,12,9,2,11,2,8
1265,A,1,3,2,2,1,10,2,2,1,9,2,9,1,6,2,8
1273,Y,3,8,5,6,2,5,10,3,2,8,12,8,1,11,0,8
1278,Y,6,8,8,10,10,10,10,6,3,6,7,7,6,11,8,3
1286,Y,6,9,6,7,4,5,9,0,8,8,9,5,1,11,4,5
1300,A,2,6,4,4,1,8,5,3,1,7,1,8,2,7,2,8
1308,C,6,11,6,8,3,4,8,6,8,12,10,13,1,9,3,7
1326,A,1,0,2,0,0,8,4,2,0,7,2,8,1,6,1,8
1330,A,3,6,5,4,2,11,2,4,2,10,2,10,2,7,3,8
1339,C,2,2,3,4,2,6,8,7,7,8,8,13,1,9,4,10
1350,A,4,12,7,8,3,7,4,3,2,6,1,8,3,7,3,7
1355,C,3,4,4,6,1,5,6,7,9,6,5,13,1,8,4,9
1363,C,3,2,4,4,2,5,8,7,7,9,8,13,1,9,4,10
1368,C,4,7,5,5,2,7,7,6,7,12,7,11,2,10,3,8
1371,Y,4,7,4,5,2,4,9,2,6,10,11,6,1,11,2,5
1388,A,4,11,6,8,4,8,3,2,3,6,1,8,2,7,3,7
1397,A,2,4,4,3,2,9,2,2,1,8,2,9,2,7,2,8
1398,C,7,11,8,8,5,4,8,6,7,12,9,11,2,11,3,7
1402,Y,9,9,7,13,5,7,11,2,3,9,10,5,4,10,6,8
1408,Y,3,8,5,6,1,6,9,3,1,8,13,8,2,11,0,8
1432,Y,3,9,6,6,1,5,11,3,2,10,12,7,1,11,0,8
1435,Y,7,9,5,13,4,5,11,2,4,11,10,6,4,11,6,7
1436,A,3,9,5,6,3,9,3,2,3,7,1,8,2,6,2,7
1440,A,5,8,8,7,7,8,7,2,5,7,8,8,5,10,3,6
1443,A,2,4,3,2,1,8,2,2,2,8,2,8,2,6,2,7
1445,Y,2,3,4,4,0,7,10,2,2,8,12,8,1,11,0,8
1467,Y,4,10,6,8,2,5,11,1,4,9,11,8,0,10,0,8
1476,A,7,12,6,6,3,9,0,3,2,9,4,12,3,5,4,6
1478,Y,1,1,2,1,0,7,10,2,2,7,12,8,1,11,0,8
1480,Y,5,8,5,6,2,3,13,4,6,13,11,4,1,11,2,5
1487,C,1,3,2,1,1,5,9,4,6,11,8,10,1,9,2,8
1493,A,3,6,4,4,2,8,2,2,2,7,2,8,2,6,3,7
1505,A,1,0,2,1,0,8,4,2,0,7,2,8,2,7,1,8
1517,C,4,6,4,4,2,3,9,5,8,10,10,12,1,8,3,7
1520,C,4,7,5,5,2,4,9,6,8,12,10,12,1,9,3,7
1533,A,1,0,2,0,0,7,4,2,0,7,2,8,1,6,1,8
1534,C,5,7,5,5,3,5,8,6,8,12,9,13,1,9,3,7
1550,C,3,10,5,8,4,5,8,7,6,9,8,14,2,9,4,10
1552,C,4,9,6,6,7,7,7,4,3,6,7,10,8,10,6,6
1561,A,2,5,4,3,2,10,2,3,2,10,2,9,2,6,2,8
1594,A,4,9,5,6,4,7,5,3,0,6,1,8,2,7,1,7
1604,A,3,9,5,7,3,13,3,3,2,11,1,8,2,6,3,9
1608,C,5,4,6,6,2,6,7,7,11,7,6,14,1,8,4,9
1617,C,3,7,4,5,2,3,8,5,8,9,9,13,1,8,3,7
1619,C,3,7,4,5,2,3,9,6,7,11,11,11,1,8,2,6
1623,A,5,10,8,8,5,11,3,1,2,8,2,9,4,6,3,8
1665,C,6,11,7,8,4,5,8,8,9,9,9,13,2,9,4,9
1670,C,7,11,7,8,4,5,7,6,8,12,9,14,2,10,4,7
1679,C,6,8,8,7,7,5,7,4,5,7,6,11,4,9,8,9
1683,Y,5,10,7,8,3,7,10,1,3,7,12,8,1,11,0,8
1688,Y,1,3,2,2,1,6,11,1,7,8,11,9,1,11,2,8
1691,C,8,12,5,7,3,5,10,6,8,11,8,8,1,8,6,8
1693,A,3,9,5,7,3,9,3,2,2,8,1,8,2,6,3,7
1697,C,5,4,6,7,2,7,6,7,11,9,5,13,1,9,4,8
1700,A,4,6,6,5,5,8,8,3,5,7,8,7,5,10,4,6
1701,A,3,8,5,6,3,7,5,3,0,7,1,8,2,7,1,8
1702,A,3,11,6,8,4,12,2,2,2,9,2,9,2,6,3,8
1713,C,7,10,9,8,6,7,7,8,7,6,7,8,5,6,5,9
1716,A,2,4,3,3,1,10,2,3,2,10,2,9,2,6,2,8
1729,C,0,0,1,0,0,6,7,5,7,7,6,14,0,8,3,10
1737,C,2,6,3,4,2,6,8,8,8,9,8,13,1,9,4,10
1750,C,3,7,5,5,5,5,7,3,4,7,6,10,5,10,3,8
1779,Y,3,9,5,6,2,9,11,1,3,5,11,8,1,10,0,8
1780,A,3,8,5,5,2,7,5,3,1,6,1,8,2,7,2,7
1803,C,2,4,3,3,2,6,8,7,7,8,7,13,1,9,4,10
1814,Y,4,7,6,5,3,9,10,1,7,3,11,8,1,11,2,9
1825,A,3,9,6,6,3,11,3,2,2,9,2,9,3,5,3,8
1840,C,4,9,6,7,4,5,8,6,6,8,8,15,3,10,4,9
1857,A,2,2,4,3,2,8,2,2,2,8,2,8,2,6,3,7
1863,Y,6,11,9,8,8,8,4,6,5,8,7,8,6,8,8,3
1866,A,3,11,5,8,4,12,3,3,3,10,1,9,2,6,3,8
1871,Y,4,5,5,7,5,10,11,5,4,5,8,8,5,10,9,5
1877,C,4,9,5,6,3,4,8,5,6,12,10,12,2,9,2,7
1895,C,9,12,7,7,5,7,9,4,5,9,8,9,4,9,8,11
1902,A,3,11,6,8,2,8,6,3,1,7,0,8,3,7,2,8
1908,C,2,5,3,4,2,6,8,7,7,8,8,13,1,9,4,10
1912,C,3,4,4,3,2,4,8,4,6,11,10,12,1,9,2,7
1915,Y,2,3,3,4,0,8,11,1,3,5,11,8,0,10,0,8
1916,C,3,5,4,3,2,4,8,5,8,11,9,13,1,9,3,7
1926,Y,6,11,6,8,3,4,10,2,7,10,11,6,1,11,3,4
1941,C,9,14,7,8,5,7,6,4,4,9,8,11,4,9,9,11
1944,C,5,5,6,8,2,6,7,7,10,8,6,15,1,9,4,9
1949,C,2,1,2,1,1,6,7,6,9,7,6,13,0,8,4,9
1951,A,3,8,6,6,4,8,5,2,4,6,2,6,2,6,2,6
1954,A,6,9,6,5,3,13,0,5,1,12,3,11,2,3,2,10
1964,A,3,8,5,6,3,11,2,3,3,10,2,9,2,6,3,8
1966,C,5,8,6,6,2,6,7,7,10,6,6,15,1,8,4,9
1969,Y,5,6,5,4,3,5,9,1,7,9,10,6,1,11,3,5
1971,Y,9,9,7,13,5,7,8,4,3,6,11,5,5,10,6,6
1972,Y,4,5,5,4,2,4,11,2,7,11,10,6,1,11,2,5
1992,C,1,0,1,1,0,7,7,5,7,7,6,14,0,8,4,10
1995,A,2,6,5,4,3,6,5,1,3,5,2,7,2,6,3,4
2000,A,5,12,5,6,3,14,0,4,2,12,3,11,2,4,2,10
2003,C,7,10,7,7,4,4,10,7,8,12,10,9,2,10,3,6
2017,Y,5,8,5,6,3,5,9,1,8,9,9,5,1,11,3,4
2023,A,1,0,2,1,0,7,4,2,0,7,2,8,2,7,1,8
2027,A,3,10,6,7,4,11,3,2,2,9,2,9,3,7,3,9
2030,Y,3,4,5,6,1,7,12,2,3,8,12,8,1,10,0,8
2038,C,3,2,4,4,2,6,8,7,8,9,8,13,1,9,4,10
2045,Y,6,12,5,6,3,4,9,4,2,10,9,6,3,9,3,4
2046,Y,3,5,5,4,2,7,10,1,7,7,11,8,1,11,2,8
2052,C,2,0,2,1,1,6,7,6,10,7,6,14,0,8,4,9
2055,Y,6,8,8,11,12,8,8,4,2,7,8,9,4,12,9,8
2062,C,5,11,6,8,5,5,8,8,7,10,8,13,2,11,4,10
2064,C,4,7,5,5,2,6,7,6,10,6,6,12,1,7,4,8
2073,A,2,1,3,1,1,7,4,2,0,7,2,8,2,6,2,8
2077,C,3,8,4,6,3,5,8,6,6,9,8,14,1,9,3,10
2094,Y,4,10,6,7,1,8,10,2,2,6,13,8,1,11,0,8
2100,Y,4,8,4,6,2,3,12,4,5,12,12,6,1,11,2,6
2110,C,5,9,6,7,3,4,8,6,9,12,9,12,1,9,3,7
2113,C,3,2,4,3,2,6,8,7,7,9,8,12,2,10,3,9
2119,C,5,9,5,7,4,4,8,5,6,11,9,14,2,9,3,7
2124,Y,5,9,5,6,3,3,10,2,7,11,11,6,1,11,2,5
2137,Y,8,10,6,15,5,4,9,3,1,9,10,5,4,10,7,5
2178,Y,6,9,6,4,3,7,7,4,4,9,8,6,4,10,4,4
2181,A,4,11,7,8,6,7,5,1,4,5,2,6,5,6,6,6
2202,C,5,8,6,6,2,3,10,5,8,12,11,10,1,8,2,6
2205,A,6,11,8,9,8,7,7,8,4,8,5,8,4,8,10,1
2212,A,2,7,4,5,3,12,3,2,2,9,2,9,3,7,3,9
2214,C,2,1,2,2,1,6,8,7,7,9,7,12,1,10,4,10
2218,C,3,8,4,6,3,5,7,6,7,7,5,11,1,8,4,10
2219,A,7,9,10,8,8,6,8,2,4,7,7,9,8,6,4,8
2220,Y,3,5,5,8,1,6,10,2,2,7,13,8,2,11,0,8
2226,Y,8,10,7,5,4,8,6,4,6,9,6,5,4,10,4,6
2232,A,3,8,5,5,2,7,5,3,1,7,1,8,2,7,2,7
2238,A,4,9,7,7,4,8,2,2,3,6,1,7,2,7,3,7
2243,C,3,2,4,4,2,6,8,7,7,8,7,13,1,9,4,10
2250,A,4,10,7,7,2,7,5,3,1,7,1,8,3,7,2,8
2251,A,2,8,4,6,2,12,3,3,2,10,1,9,2,6,2,8
2256,C,7,10,8,8,5,3,7,5,7,11,10,14,2,9,3,7
2265,A,6,9,5,4,2,11,3,3,1,9,4,11,4,5,4,9
2274,C,6,11,6,8,4,5,8,7,8,12,9,12,2,10,4,6
2278,Y,7,6,6,9,4,6,8,4,2,7,10,5,4,10,5,6
2284,A,8,14,8,8,6,9,4,5,4,10,6,12,9,2,7,11
2297,Y,4,5,5,7,7,9,6,6,3,7,7,8,7,8,6,4
2299,Y,4,4,5,6,5,9,9,5,3,7,7,7,5,10,6,4
2308,A,3,9,5,7,3,11,3,2,2,9,2,9,3,5,3,8
2309,C,2,2,3,3,2,6,8,7,8,8,7,13,1,9,4,10
2313,Y,3,5,5,8,6,7,10,3,3,7,8,9,4,10,9,5
2321,C,3,8,4,6,3,5,7,6,8,5,6,12,1,7,4,10
2326,C,6,11,7,8,5,5,8,7,6,8,8,15,4,9,6,6
2335,C,7,11,8,8,5,5,7,5,7,12,9,13,4,11,5,5
2339,C,6,9,8,8,8,5,7,3,5,7,6,11,4,11,8,8
2363,A,2,4,3,3,1,11,3,3,2,11,2,9,2,6,2,9
2373,A,3,9,5,7,3,11,4,2,2,8,2,9,3,5,3,8
2405,A,3,5,5,3,2,10,2,2,2,10,2,9,2,6,2,7
2408,A,3,9,5,7,3,10,2,2,2,8,1,8,2,7,3,8
2431,Y,7,10,7,7,3,2,11,5,6,13,13,7,2,11,2,6
2441,C,2,3,2,2,1,4,9,5,6,12,9,10,1,9,2,7
2442,A,5,9,9,7,6,5,5,2,4,3,2,7,6,7,7,2
2444,C,9,14,6,8,3,7,8,7,7,11,6,7,2,9,6,8
2446,Y,2,4,4,5,1,8,10,2,2,6,12,8,1,11,0,8
2450,A,3,8,6,5,2,6,5,3,0,6,1,8,2,7,2,7
2453,Y,9,12,8,7,5,6,6,5,4,9,9,6,5,11,4,6
2456,A,3,9,5,7,4,9,3,2,2,7,2,8,2,6,3,6
2464,C,5,9,6,7,4,4,8,7,8,7,8,14,2,8,4,10
2469,Y,4,6,6,8,1,7,11,2,3,7,12,8,1,11,0,8
2470,A,3,7,5,5,3,8,2,2,2,7,1,8,2,7,3,7
2474,Y,3,6,5,8,1,10,11,2,4,4,12,8,0,10,0,8
2478,C,3,7,5,6,5,5,8,3,5,7,7,11,3,9,6,10
2491,A,2,6,5,4,3,5,5,2,2,4,2,7,2,6,3,3
2494,Y,3,9,5,6,1,8,10,3,2,6,13,8,2,11,0,8
2495,A,3,9,6,7,4,13,3,3,3,11,1,9,2,6,2,9
2501,A,2,3,3,2,1,10,2,2,1,8,2,9,1,6,1,8
2512,A,2,7,4,5,3,11,3,2,2,9,2,9,2,6,3,8
2539,Y,7,10,7,7,3,4,10,2,8,11,11,6,1,10,3,3
2540,A,5,6,7,5,5,8,8,3,4,7,8,8,5,9,3,6
2543,C,7,11,5,6,2,7,7,7,7,12,6,9,2,9,5,9
2545,A,3,4,5,3,2,10,2,2,2,8,2,9,4,5,2,9
2546,A,3,6,6,4,4,8,5,2,4,7,2,6,2,6,4,6
2553,Y,5,7,7,10,10,8,8,4,2,7,8,9,4,11,9,8
2563,A,3,9,5,7,3,11,3,3,4,11,2,9,2,6,3,8
